(-0.20, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.28, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.28, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
