(-0.21, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.08, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.08, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.21, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.21, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.23, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.23, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.05, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.05, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
