(-0.10, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.14, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.08, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.08, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.14, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.10, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.14, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.10, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.10, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.14, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
