(0.48, 0.08, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.56, 0.08, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.56, 0.08, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.72, 0.12, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.72, 0.12, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.84, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.84, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.92, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.92, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.96, 0.48, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.96, 0.48, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.96, 0.56, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.96, 0.56, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.92, 0.72, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.92, 0.72, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.84, 0.84, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.84, 0.84, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.72, 0.92, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.72, 0.92, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.56, 0.96, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.56, 0.96, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.48, 0.96, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.48, 0.96, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.32, 0.92, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.32, 0.92, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.20, 0.84, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.20, 0.84, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.12, 0.72, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.12, 0.72, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.08, 0.56, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.08, 0.56, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.08, 0.48, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.08, 0.48, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.12, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.12, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.20, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.20, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.32, 0.12, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.32, 0.12, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.48, 0.08, 0.00) (1.00, 1.00, 0.00, 1.00)
(0.52, 0.52, 0.00) (1.00, 1.00, 0.00, 1.00)
