(-0.04,-0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.04,-0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.04,-0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.20,-0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.20,-0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.32,-0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.32, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.20, 0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.20, 0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.04, 0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.04, 0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.04, 0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.04, 0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.20, 0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.20, 0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.32, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.32, 0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.40, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.40, 0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.44, 0.04, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.44, 0.04, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.44,-0.04, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.44,-0.04, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.40,-0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.40,-0.20, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.32,-0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.32,-0.32, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.20,-0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.20,-0.40, 0.00) (1.00, 1.00, 0.00, 1.00)
(-0.04,-0.44, 0.00) (1.00, 1.00, 0.00, 1.00)
( 0.00, 0.00, 0.00) (1.00, 1.00, 0.00, 1.00)
