( 0.10, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.22, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.20, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.24, 0.06, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.24, 0.04, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.24, 0.20, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.24, 0.20, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.20, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.20, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.06, 0.22, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.06, 0.22, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.06, 0.04, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.06, 0.04, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.10, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.14, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.08, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.08, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.21, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.06, 0.21, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.12, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.28, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.23, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.23, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.05, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.26, 0.05, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.21, 0.00, 0.00) (1.00, 1.00, 1.00, 1.00)
(-0.16, 0.14, 0.00) (1.00, 1.00, 1.00, 1.00)
( 0.12, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.06, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.10, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.06, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.06, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.10, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.06, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.12, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.10, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.12, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.12, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
( 0.10, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.28, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.18, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.28, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.16, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.20, 0.08, 0.00) (0.00, 0.00, 1.00, 1.00)
(-0.24, 0.12, 0.00) (0.00, 0.00, 1.00, 1.00)
